# P21-T03 — judgement table, part B: positions and arguments.
# Columns: id;risk;actors;states;positive;negative;limit;authorization;concurrency;idempotency;failure;authorization_text;concurrency_text;idempotency_text;security_text;privacy_text;not_applicable
QUAL-REQ-POS-01;Q1;visitor;local,revealed;TestParticipationPageForVisitorKeepsTheChoiceLocal,TestParticipationAggregateIsRevealedOnRequest;TestPositionsDomainCarriesNoPlanOrPaymentWeight;;TestPositionsDomainCarriesNoPlanOrPaymentWeight;;;A escolha local é do visitante e não exige conta, nem cria registro oficial.;A escolha vive na sessão do browser, e não há escrita concorrente no servidor.;Repetir a escolha local apenas a substitui na sessão.;A página decide o que revelar a partir da própria escolha, sem confiar em parâmetro de terceiro.;A escolha do visitante não é gravada, e nenhum identificador de sessão é contado.;limit=Não há limiar nesta regra: a escolha é local e volátil, sem quantidade que a restrinja
QUAL-REQ-POS-02;Q1;account;confirmed;TestConfirmInitialPositionRecordsTheFirstChoice,TestConfirmInitialPositionEndToEnd;internal/positions/application/confirm_initial_position_test.go::TestConfirmInitialPositionValidatesInputsWithoutTouchingPorts;;;internal/positions/application/confirm_initial_position_test.go::TestConfirmInitialPositionResolvesLostInsertRaces;;Só a conta elegível confirma a própria posição inicial.;A primeira escrita é decidida sob a chave da arena e do titular, e as corridas são resolvidas pelo repositório.;Confirmar a mesma posição de novo não reescreve o registro.;O valor é validado contra o vocabulário de três posições antes de qualquer escrita.;A posição é privada por padrão e só entra no agregado de forma anônima.;limit=A posição inicial é um valor de um vocabulário fechado de três, então não há limiar entre aceitar e recusar
QUAL-REQ-POS-03;Q1;account;confirmed;TestConfirmInitialPositionResolvesLostInsertRaces;TestConfirmInitialPositionRefusesDifferentInitialValue;;;internal/positions/application/confirm_initial_position_test.go::TestConfirmInitialPositionConcurrentDifferentValues;internal/positions/application/confirm_initial_position_test.go::TestConfirmInitialPositionIsIdempotentOnRetry;Ninguém reescreve a posição inicial de outro titular: a chave é arena e titular.;Inserções simultâneas com valores diferentes são resolvidas pela chave única, com o teste de corridas.;A posição inicial é gravada uma vez e nunca reescrita, nem por repetição.;A unicidade é imposta pelo schema, não apenas pelo caso de uso.;O registro é da conta titular e só aparece agregado.;limit=A unicidade é categórica: existe ou não existe a posição inicial, então não há limiar nesta regra
QUAL-REQ-POS-04;Q0;account;private,aggregated;TestPositionAggregateCountsEligibleAccountsOnly;TestPositionsAPIIsOwnerScoped;;TestPositionsAPIIsOwnerScoped;;;Só a conta titular lê a própria posição e o próprio histórico, e o público vê apenas o agregado.;As duas leituras não escrevem nada, então não disputam linha.;A leitura é pura e devolve o mesmo resultado enquanto o estado não muda.;A resposta do titular é owner-scoped, e o agregado conta uma linha por titular elegível.;Nenhum identificador de conta sai no agregado, e a posição individual nunca é pública.;limit=A visibilidade é categórica por proprietário, então não há limiar nesta regra+concurrency=As leituras de posição e de agregado não escrevem, então não há duas escritas concorrentes+idempotency=A leitura não altera estado, então repetir não muda nada
QUAL-REQ-POS-05;Q1;account;changed,chained;TestChangePositionRecordsTheTransitionAtomically;internal/positions/domain/change_test.go::TestNewPositionChangeValidatesTheHistoryEntry;;;;;A mudança é da própria conta e exige posição vigente.;A mudança e o lançamento do histórico são gravados na mesma transação.;A cadeia é append-only e reconstruível por replay, então repetir não apaga elo.;A transição é decidida no servidor, com versão verificada contra corrida.;O histórico individual é privado e só o agregado é público.;limit=A cadeia é append-only e sem orçamento de tamanho declarado, então não há limiar nesta regra
QUAL-REQ-POS-06;Q1;account;changed;TestChangeToAppliesAcceptedTransitionsOnly;TestChangePositionRefusesTheSamePositionWithoutTransaction;;;;;;Só a conta titular muda a própria posição.;A recusa acontece antes de qualquer transação, então não há corrida a resolver.;Repetir a mesma posição é recusado sem escrever nada.;A regra é de domínio e roda antes do acesso ao banco.;Nenhum dado novo é gravado nesta recusa.;limit=A recusa é de igualdade entre a posição atual e a pedida, categórica, então não há limiar
QUAL-REQ-POS-07;Q1;account;closed;TestEnsureAcceptsPositionsAsksTheArenaDomain;TestChangePositionRefusesClosedArenaWithoutWriting;;;;;;A elegibilidade é conferida contra o estado da arena no servidor.;A pré-condição é lida do estado da arena, e a transição segue serializada.;A recusa por arena fechada não escreve nada, nem em repetição.;A decisão não confia em parâmetro do cliente, e sim no estado gravado.;A recusa não toca dado pessoal.;limit=O estado da arena é categórico, aberta ou fechada, e não há limiar nesta regra
QUAL-REQ-POS-08;Q1;visitor;aggregated;TestPositionAggregateInvalidationExcludesAccounts,TestPositionAggregateHTTPIsPublicAndCacheable;internal/positions/application/get_position_aggregate_test.go::TestGetPositionAggregateValidatesPolicyAndQuery;TestGetPositionAggregateSuppressesSmallSamples;;;;;O agregado é público e não revela quem votou o quê.;O agregado é projetado na leitura a partir das posições válidas.;A mesma leitura do agregado devolve a mesma projeção.;O limiar metodológico é aplicado no servidor antes de responder.;Conta apenas titulares elegíveis e suprime amostras pequenas antes de publicar.;
QUAL-REQ-POS-09;Q1;account;aggregated;TestParticipationPageForOwnerWithoutPositionOffersTheConfirmation;TestGetPositionAggregateValidatesPolicyAndQuery;TestAggregatePolicyThreshold;;;;;A distribuição só é servida a quem já registrou a própria escolha.;A decisão é de leitura, sem escrita concorrente.;A mesma consulta, no mesmo estado, decide o mesmo.;O gate é server-side, e o cliente não escolhe se vê o agregado.;A recusa não revela a distribuição nem quem já votou.;
QUAL-REQ-POS-10;Q1;account;history;TestGetMyPositionReturnsTheOwnerProjection,TestListPositionChangesReturnsNewestFirst;internal/positions/application/read_position_test.go::TestGetMyPositionValidatesInputs;;;;;;Só a conta titular lê o próprio histórico e a própria posição.;A leitura não escreve e devolve a cadeia como está gravada.;A mesma leitura devolve a mesma cadeia, ordenada do mais novo.;A consulta é owner-scoped e paginada por cursor.;O histórico individual é privado e nunca entra em resposta pública.;limit=A leitura entrega a cadeia do titular sem limiar de amostra, então não há threshold nesta regra
QUAL-REQ-ARG-01;Q1;account;published;TestPublishArgumentRecordsAtomically,TestPublishArgumentEndToEndAtomic;TestParseRelationAcceptsOnlyCanonicalVocabulary;;;;;;Só a conta elegível publica na própria identidade.;A publicação grava o argumento numa transação sob a chave de idempotência.;A chave de idempotência impede a segunda publicação do mesmo envio.;A relação é validada contra o vocabulário canônico antes de gravar.;O argumento é público por desenho e carrega apenas o texto e as fontes.;limit=A relação é um vocabulário fechado de três valores, então não há limiar nesta regra
QUAL-REQ-ARG-02;Q1;account;published;TestPublishArgumentRepliesCarryTheirParent,TestReplyPolicyAcceptsOneRecursionLevel;TestPublishArgumentRejectsDeepReplies;TestReplyPolicyAcceptsOneRecursionLevel;;;;;A resposta é publicada pela conta titular, referenciando o argumento pai.;A profundidade é decidida na transação, lendo o pai da mesma arena.;A resposta carrega o próprio identificador de idempotência.;A recursão é limitada a um nível pelo domínio e pelo schema.;A resposta é pública e não acrescenta dado de terceiro.;
QUAL-REQ-ARG-03;Q1;account;published;TestParseSourceCanonicalizesAndValidates;internal/arguments/domain/source_test.go::TestReconstituteSourceValidatesStoredState;;;;;;As fontes são do autor do argumento e não têm custo de INK.;As fontes entram na mesma transação da publicação do argumento.;A mesma URL é canonicalizada para a mesma fonte.;O esquema de protocolo é validado e canonicalizado no domínio.;A fonte é pública por desenho e não carrega dado de terceiro.;limit=As fontes não têm teto de quantidade nesta regra, então não há limiar a variar
QUAL-REQ-ARG-04;Q1;account;published;TestParseContentNormalizesAndMeasures,TestParseContentUnicodeCorpus;TestParseContentRejections;TestParseContentRejections;;;;;O conteúdo é do autor e medido antes de qualquer débito.;A medição é pura sobre o texto, sem estado compartilhado.;O mesmo texto normalizado mede sempre o mesmo.;A contagem é de grapheme clusters, com biblioteca precisa de segmentação Unicode.;O conteúdo é público por desenho e não carrega dado de terceiro.;
QUAL-REQ-ARG-05;Q1;account;previewed,published;TestGetWalletBalanceUseCase,TestPublishArgumentReportsAnEmptyBalanceOnTheField;TestAllocateDebitPriority;;;;;;A prévia é do próprio titular, que vê o saldo e o custo antes de confirmar.;O saldo lido para a prévia é uma leitura, sem reservar INK.;Repetir a prévia mostra o mesmo custo para o mesmo conteúdo.;O custo é calculado no servidor a partir do texto medido, nunca informado pelo cliente.;A prévia mostra apenas o saldo e o custo do próprio titular.;limit=A prévia é categórica quanto ao custo exato, então não há threshold de amostra nesta regra
