# P21-T03 — judgement table, part A: identity, profiles, privacy, discovery and arena.
# Columns: id;risk;actors;states;positive;negative;limit;authorization;concurrency;idempotency;failure;authorization_text;concurrency_text;idempotency_text;security_text;privacy_text;not_applicable
QUAL-REQ-AUTH-01;Q0;visitor,account;registered,verified,session;TestRegisterAccount_SuccessAndVerification,TestLoginSuccessAndSessionIssuance,TestHashAndVerifySuccess;internal/identity/application/usecases_test.go::TestRegisterAccount_WeakPasswordAndInvalidEmail,internal/identity/adapters/argon2id/hasher_test.go::TestVerifyWrongPassword;internal/identity/adapters/http/auth_http_test.go::TestThrottledLoginIsRefusedBeforeTheUseCase;internal/identity/application/session_test.go::TestLoginAccountStatusRestrictions;;;;O cadastro é aberto e a conta suspensa é recusada antes de qualquer sessão ser emitida.;O cadastro é uma inserção única sob a chave do email e o login não escreve a conta.;Cada login emite uma sessão nova por desenho, então repetir não é uma repetição sem efeito.;Argon2id com sal único para a senha e token opaco de 256 bits em cookie HttpOnly, Secure e SameSite.;Somente o email é tocado, e a resposta não revela se ele já existe.;concurrency=O cadastro é uma inserção única sob a chave do email e o login não escreve a conta, então não há duas escritas concorrentes nesta regra+idempotency=Cada login emite sessão nova por desenho, então repetir tem efeito e não há chave de idempotência nesta regra
QUAL-REQ-AUTH-02;Q0;account;pending,verified;internal/identity/application/usecases_test.go::TestRegisterAccount_SuccessAndVerification;TestVerifyEmail_ReplayProtection,TestVerifyEmail_ExpiredToken;TestVerifyEmail_ExpiredToken;;;TestIssueEmailVerification_ReissuanceInvalidatesPreviousToken,TestRepository_ReissuanceInvalidatesPreviousTokens;;A posse do token de uso único é a autorização da jornada, que não tem papel a conferir.;A reemissão substitui o token anterior numa escrita sob a chave da conta, sem leitura disputada.;Reemitir invalida o token anterior e reusar o consumido é recusado.;Token criptográfico de uso único, guardado por hash e com validade curta.;A confirmação não expõe a terceiros se o email já estava confirmado.;authorization=O token de uso único é a própria autorização, então não há papel nem escopo de terceiro nesta regra+concurrency=A reemissão e o consumo escrevem sob a chave da conta e do token, então não há duas escritas concorrentes nesta regra
QUAL-REQ-AUTH-03;Q0;account;session,rotated,revoked;TestRotateSession,TestLogoutCurrentAndAllSessions;TestSessionRotationEndsTheOldTokenAndIssuesANewOne;internal/identity/application/session_test.go::TestAuthenticateSessionLifecycleAndThrottling;TestSessionRevocationEndsOnlyTheAddressedSession;internal/identity/adapters/http/sessions_http_test.go::TestSessionRevocationIsAtomicUnderConcurrency;;;Só a conta titular lê, rotaciona e revoga as próprias sessões, e a revogação exige a senha.;A revogação é atômica sob concorrência e a rotação consome o token anterior na mesma transação.;O token consumido não autentica de novo, então repetir exige uma sessão nova.;Token opaco com hash no banco, rotação no login e revogação de todas as sessões no logout.;A listagem marca a sessão chamadora e nunca devolve o token.;idempotency=A rotação consome o token anterior, então repetir com o token velho é a recusa que o negativo já prova e não há repetição neutra
QUAL-REQ-AUTH-04;Q0;visitor,account;requested,consumed,expired;TestPasswordReset_SuccessAndReplayRejection;TestRequestPasswordReset_AntiEnumeration,TestPasswordReset_ExpiredTokenRejection,internal/identity/application/password_reset_test.go::TestPasswordReset_SuspendedAccountRejection;TestPasswordReset_ExpiredTokenRejection;internal/identity/application/password_reset_test.go::TestPasswordReset_SuspendedAccountRejection;TestRepository_PasswordResetConcurrentRace;TestPasswordReset_SuccessAndReplayRejection,internal/identity/application/password_reset_test.go::TestPasswordReset_ReissuanceInvalidatesPreviousToken;;O pedido é anônimo e a confirmação exige o token do titular, com conta suspensa recusada.;Duas confirmações com o mesmo token são resolvidas pela corrida do repositório: uma consome, a outra recusa.;Reemitir invalida o token anterior, e o consumo é único.;Token CSPRNG guardado por hash, de uso único, com validade curta e resposta anti-enumeração.;A resposta não revela se o email existe, e a nova senha não passa por log.;
QUAL-REQ-PROF-01;Q1;account,visitor;created,changed;TestCreateProfileUseCase,TestChangeUsernameUseCase;internal/profiles/adapters/postgres/repository_test.go::TestRepository_CreateProfileRejectsDuplicates;internal/profiles/domain/username_test.go::TestParseUsernameBoundaryLimits;TestRepository_UsernameConcurrency;TestRepository_ApplyUsernameChangeIsAtomic;;;Só a conta titular cria e troca o próprio username, e a troca é atômica com a verificação.;A unicidade do username é decidida sob concorrência pelo repositório, que recusa a corrida.;A troca aplica uma vez, sob a chave da conta, e repetir não aplica duas vezes.;O username é validado sintaticamente, sem caracteres de controle nem termos reservados.;O username é público por desenho e não carrega nenhum outro dado da conta.;
QUAL-REQ-PROF-02;Q1;account;preferred;TestChangeLocaleUseCase,TestResolverPrecedenceWithProfileSource;internal/profiles/domain/locale_test.go::TestParseLocaleInvalidAndUnsupported;;TestRepository_UpdateProfileLocale;;;;Só a conta titular altera a própria preferência, que o resolvedor lê a cada requisição.;A troca é uma escrita sob a chave do perfil, e a leitura do locale não escreve.;Aplicar a mesma preferência de novo deixa o estado idêntico.;O locale é validado contra um vocabulário fechado, e entrada desconhecida é recusada.;A preferência é dado privado do perfil e não vaza para resposta pública.;limit=A preferência é um vocabulário fechado de dois locales, então não há limiar entre aceitar e recusar
QUAL-REQ-PROF-03;Q2;visitor;public;TestGetPublicProfileUseCase,TestPublicProfileReputation;internal/profiles/adapters/http/profiles_http_test.go::TestPublicProfileNotFoundNeverEchoesInput;;;;;;A leitura pública é aberta e mostra apenas as métricas factuais do perfil.;A projeção é reconstruída na leitura, sem escrita concorrente.;A mesma leitura devolve o mesmo documento enquanto o estado não muda.;A resposta monta os campos permitidos e nunca ecoa a entrada do cliente.;Somente métricas factuais: nenhum identificador de conta, email ou posição individual.;
QUAL-REQ-PRIV-01;Q0;account;requested,held,anonymized;TestDeletionJourneyRequestCoolDownExecute,TestAccountDeletionJourneyAnonymizesAndPreservesObligations;internal/profiles/adapters/http/deletion_test.go::TestDeletionHTTPOwnerIsolationAndUnknownRequest,internal/profiles/adapters/http/export_test.go::TestExportHTTPRejectsExpiredLinks;TestPersonalExportDownloadIsSingleUseOwnerScopedAndExpiring,internal/profiles/domain/deletion_test.go::TestDeletionCancellableStates;TestPersonalExportDocumentsDoNotMixAccounts,internal/profiles/adapters/http/export_test.go::TestExportHTTPRequiresAuthAndStepUp;;TestPersonalExportDownloadIsSingleUseOwnerScopedAndExpiring;;Só a conta titular pede, baixa e cancela, e o download exige step-up.;A jornada de exclusão é uma máquina de estados do próprio titular, com transições serializadas.;O download consome o token uma vez e repetir é recusado.;O documento sai por link de uso único e expirável, com step-up exigido.;O pacote reúne apenas os dados do próprio titular, e a exclusão anonimiza preservando obrigações.;concurrency=A jornada é de um único titular e cada passo troca o estado serialmente, então não há duas escritas concorrentes da mesma jornada
QUAL-REQ-DISC-01;Q2;visitor;published;TestGetArenaFeedUseCasePaginatesWithoutDuplicatesOrGaps;;;TestRepository_PublicFeedKeysetWithIdenticalTimestamps,TestRepository_PublicFeedUsesIndexOnSyntheticVolume;;;;A leitura é pública e não exige conta, e nenhum campo privado entra no feed.;A página é montada numa consulta keyset única, então duas leituras concorrentes não se afetam.;O mesmo cursor devolve a mesma página, sem duplicar nem pular itens.;O filtro e o limite são tipados, e o limite é fixado no servidor.;O feed publica título, slug, idioma e categoria, e nenhum identificador de conta.;negative=O requisito é uma leitura sem entrada do cliente além do cursor, e a recusa de cursor ou filtro inválido pertence ao contrato do feed coberto por REQ-DISC-03
QUAL-REQ-DISC-02;Q2;visitor;published,closed,removed;TestArenaDocumentRendersCacheableHTML,TestArenaDocumentUsesContentLanguage;TestGetArenaDocumentDistinguishesRemovedFromMissing;;;;;;A página é pública e indexável, sem exigir conta.;O documento é lido do estado gravado, sem escrita concorrente.;O mesmo slug devolve o mesmo documento enquanto o estado não muda.;O HTML é renderizado do estado do servidor e o slug pedido nunca é refletido.;O documento publica a afirmação e o contexto, sem dado pessoal de participante.;
